Row Labels,<=-2,>-0.25 and <=0,>-0.5 and <=-0.25,>-0.75 and <=-0.5,>-1 and <=-0.75,>-1.25 and <=-1,>-1.5 and <=-1.25,>-1.75 and <=-1.5,>-2 and <=-1.75,>0 and <=0.25,>0.25,Grand Total
01/01/08,30.91457519,6.902545411,6.294487676,7.148464005,8.228845938,11.23098168,17.40609638,19.73275753,15.16689417,9.366011184,12.87537619,145.2670354
02/01/08,57.73742945,10.67545398,10.03028001,11.62751495,14.65794511,18.44941572,24.73739576,17.63169399,19.80544035,13.22858137,20.30904338,218.8901941
03/01/08,33.83085406,11.14301519,9.787955185,10.36529297,15.80313236,18.67971248,22.39644757,23.97657166,38.70647103,14.77419672,20.10495308,219.5686023
04/01/08,25.06643438,9.383184448,7.880643954,9.320850119,10.2587559,13.19360711,26.30896809,26.37126617,28.43873509,11.74145963,17.42915711,185.393062
05/01/08,35.61048111,6.913621129,5.813023234,6.483555292,7.470183753,10.78873743,12.95326984,24.55558596,25.12096345,9.075023394,13.95472133,158.7391659
06/01/08,26.92038515,6.300667695,5.715004309,5.846428188,7.457446937,9.782909079,12.22613173,24.38439836,27.93593333,8.316222463,11.94119496,146.8267222
07/01/08,23.85253491,6.985308054,5.421548992,4.422343024,4.823510578,5.905979534,7.575810953,12.72362845,20.79706159,8.135591245,12.47454642,113.1178638
08/01/08,17.4870062,6.370744434,5.416802708,4.52538573,4.458916049,4.83158151,5.442463023,8.444923632,11.64009878,7.10963411,11.40901132,87.1365675
09/01/08,20.80425961,6.400414186,5.338201172,4.359788538,3.863234752,4.837410399,7.323276562,8.501280102,10.59275311,7.669028046,12.00238971,91.69203619
10/01/08,22.60254953,6.236655625,4.620020937,5.507381747,6.865342807,8.622640336,15.82030272,19.26306372,26.19442285,8.198144722,11.86936218,135.7998872
11/01/08,12.3353558,4.738963542,4.179540459,4.061971424,4.35979708,4.21437255,5.476704975,11.76077241,10.95159035,6.484406994,9.891203349,78.45467893
12/01/08,12.21864938,6.679837666,6.235777196,5.352349884,5.685092741,6.473125114,8.512318323,10.22151023,15.93962407,9.110970458,10.11885778,96.54811284
01/01/09,-0.21075607,8.856236393,7.876605145,13.30036222,21.59032985,29.15074405,18.94495811,28.35737476,0.728084052,10.06214732,16.47371279,155.1297986
02/01/09,-0.102657046,10.97148181,15.03238222,25.09322085,27.98984817,27.5727755,15.33205802,26.77379241,-0.777556388,14.01000988,22.50127196,184.3966274
03/01/09,-0.437717414,11.11014756,8.154679727,13.47682752,17.76529879,34.94054881,17.99310978,8.644108438,-0.122822034,10.68449476,22.18202808,144.390704
04/01/09,20.93259334,6.818206127,5.335569366,8.760363574,16.83359873,29.67911547,22.26633773,18.90201342,44.55712521,10.24049273,21.80126132,206.126677
05/01/09,-0.109860138,5.003249715,7.726725687,12.55448562,22.97863023,24.34791466,50.74740841,51.98085716,0.062593305,5.357594222,22.89773509,203.547334
06/01/09,-0.555534386,3.355594549,4.455216824,7.760380784,33.54698026,39.0389591,20.8968018,4.859357767,31.26151726,4.876762702,24.79234871,174.2883854
07/01/09,0.517906613,10.8750401,6.123438253,2.993590059,2.890313139,3.889884362,19.56461962,27.04029571,20.58690921,16.21054695,22.60449293,133.2970369
08/01/09,14.22823155,4.318394547,2.842573607,2.696676253,4.124391857,23.84271738,7.954010155,10.17116938,15.64082927,7.675488043,17.04516225,110.5396443
09/01/09,-0.10047654,4.610569504,2.782504848,2.786675146,3.373394975,13.18342259,16.71893108,33.2728203,0.348385626,7.836481388,16.16654871,100.9792576
10/01/09,-0.15269745,4.128160621,4.110642806,2.915664833,3.184656764,19.0669079,12.98292403,0.473843984,42.76653759,8.079986073,17.45508847,115.0117156
11/01/09,-0.115276782,3.858318454,4.06060312,3.164741187,20.25459545,22.53859792,12.03086384,0.380717175,38.87007374,6.93704802,17.9521299,129.932412
12/01/09,0.034642613,4.334345992,4.849798169,3.633720058,18.9527557,13.66447018,35.55186042,34.32565599,0.1349926,8.142516792,21.46618843,145.0909469
01/01/10,0.013743651,3.410372385,3.414104416,2.657443618,7.162816938,11.38585275,19.72567573,3.295958474,-0.125412584,5.586407416,17.81990129,74.34686408
02/01/10,-0.052876608,6.753965287,4.72543641,4.500241798,5.085124306,25.23538211,7.273778711,15.11093299,-0.038948089,14.77285919,73.70273031,157.0686264
03/01/10,-0.015361471,4.343374564,4.402386982,3.016816634,9.087225195,12.05827336,13.12033996,2.656825665,0.120606959,6.022639314,26.10310907,80.91623623
04/01/10,0.004409525,4.430936131,4.651271742,4.827128023,13.80943134,12.23529963,10.78182039,6.248468545,0.384869564,6.308484567,23.98696758,87.66908704
05/01/10,-0.009013968,4.901613958,4.281305095,3.930426279,4.336760236,12.77216723,17.97339131,0.315265013,18.5518798,6.51555707,22.24608094,95.81543296
06/01/10,46.7114634,6.036775913,6.338771984,6.429268377,16.69726675,18.0374742,2.979672578,31.02131267,40.41257187,8.293733094,23.29339403,206.2517049
07/01/10,,7.384284631,7.157005958,13.5514192,12.12163185,7.350771575,2.80265109,0.368090785,39.69186799,7.530623339,22.72400625,120.6823527
08/01/10,,10.46520781,9.427550926,13.77782796,18.81328495,5.958420038,18.72129172,0.500633494,-0.051063936,12.38444574,25.96239344,115.9599921
09/01/10,,13.80272792,18.32935127,18.44176417,16.2254696,3.328334236,6.211540502,0.146444553,,14.97118302,26.62365641,118.0804717
10/01/10,,12.84132037,17.21970082,11.66991023,9.303476156,12.82697471,0.083608861,-0.050751077,0.001386336,15.81096399,26.58681057,106.293401
11/01/10,,17.13252381,14.18186008,23.69023528,26.76481484,12.28846108,37.59378143,0.0000342,,16.02736272,28.21192223,175.8909957
12/01/10,,15.53352219,9.742638018,11.24945828,18.86048747,15.94292945,8.209300786,0.821116085,-0.001335509,15.16894098,27.81827756,123.3453353
01/01/11,54.22478676,9.401568266,7.942157881,6.958415191,3.899029434,10.10190146,12.178723,2.117869788,4.098080279,10.67343732,24.96016093,146.5561303
