Refi Incentive(1/10th bp),Refi Incentive(1/10th bp) Description,Credit Score,Credit Score Description,Factor Date,Current Remaining Principal Balance ,Item Count ,Weighted Average Gross Coupon ,Weighted Average Maturity ,Weighted Average Loan Age ,Weighted Average Original Loan Size ,Weighted Average Loan Size ,Original Loan Amount ,CPR 1M ,CCR 1M (Curtailment) 
-250,>-0.5 and <=-0.25,680,>550 and <=680,4/1/2012,795585723.6,4694,3.55403973,191.5385836,6.682567903,232088.335,225681.6474,819851047,4.763708448,0.774682906
-250,>-0.5 and <=-0.25,740,>680 and <=740,4/1/2012,4422663465,22106,3.551741583,214.0284426,7.64113937,271428.5482,263523.4344,4573987244,9.119866486,0.995184052
-250,>-0.5 and <=-0.25,29999,>740,4/1/2012,20890994713,106458,3.549454926,209.4382987,7.701115919,268256.0463,259531.6706,21730033193,13.60209169,1.84823813
0,>-0.25 and <=0,-999,N.A.,4/1/2012,2462919.402,14,3.852177641,284.493161,10.14699688,252684.2581,247960.4294,2548138,77.4834813,0.016675298
0,>-0.25 and <=0,550,<=550,4/1/2012,19502110.89,148,3.833315846,195.5906995,9.213577537,172969.7272,166718.2388,20306558,0.466970283,0.466970283
0,>-0.25 and <=0,680,>550 and <=680,4/1/2012,1824818871,11067,3.828446879,200.4685326,10.33795979,230682.1367,220774.899,1914995712,7.003498484,0.83645236
0,>-0.25 and <=0,740,>680 and <=740,4/1/2012,10804974631,54787,3.833090831,232.17762,9.94774279,269615.8454,259536.504,11307399161,10.68218051,0.947347977
0,>-0.25 and <=0,29999,>740,4/1/2012,57004631584,283379,3.832851346,244.4141039,9.156757564,274939.0583,265101.2574,59706847719,11.79492957,1.38854073
250,>0 and <=0.25,-999,N.A.,4/1/2012,1058515.102,8,4.096096793,224.8514684,10.79752322,160668.0783,153365.8907,1115500,0.179016907,0.179016907
250,>0 and <=0.25,550,<=550,4/1/2012,35699977.47,244,4.058798051,236.6602548,8.742508271,201997.4703,196479.8144,36945887,4.405782515,0.331575751
250,>0 and <=0.25,680,>550 and <=680,4/1/2012,1770552034,10871,4.059433091,239.8609237,11.13177262,226943.2014,218688.2006,1850272889,10.08471619,0.688291264
250,>0 and <=0.25,740,>680 and <=740,4/1/2012,9932056280,49744,4.057281494,274.6145976,10.00572335,270579.2885,262679.951,10304406746,9.532235753,0.822092547
250,>0 and <=0.25,29999,>740,4/1/2012,45014682632,220106,4.053925807,282.3942807,9.505141115,278954.889,271008.4143,46776253528,12.31684975,1.15438851
29999,>0.25,-999,N.A.,4/1/2012,1473862908,20314,6.482729293,244.6886701,86.83019258,185210.2645,163088.4597,2044192890,25.85831771,1.160270917
29999,>0.25,550,<=550,4/1/2012,1985147543,15613,5.952093697,297.2527584,41.71693018,197144.5232,188087.6948,2138134051,12.91972195,0.199925765
29999,>0.25,680,>550 and <=680,4/1/2012,1.09265E+11,716813,5.882085532,292.7845723,46.35415913,218906.1474,206018.4496,1.1753E+11,23.37155376,0.319162508
29999,>0.25,740,>680 and <=740,4/1/2012,2.79986E+11,1556649,5.38661238,300.1376318,37.2665017,251635.7595,238689.1068,2.98554E+11,24.92775173,0.484822886
29999,>0.25,29999,>740,4/1/2012,6.17795E+11,3392714,5.047879527,299.6832806,30.84798128,257600.4304,244225.7058,6.61462E+11,28.10606509,0.896409926
-2000,<=-2,740,>680 and <=740,3/1/2012,2150449.102,8,,355.2539479,4.746052076,339532.3663,336164.5282,2173500,0.013410514,0.013410514
-2000,<=-2,29999,>740,3/1/2012,11491592.3,42,,356.1680193,3.867968897,320711.9384,313693.7118,11856267,2.242711425,2.242711425
-1750,>-2 and <=-1.75,680,>550 and <=680,3/1/2012,408368,1,,358,2,410000.0031,408368.0144,410000,-0.000129546,-0.000129546
-1750,>-2 and <=-1.75,740,>680 and <=740,3/1/2012,1305500,4,,356.6360804,3.052529299,375068.7418,371958.2165,1318950,1.4065317,1.4065317
-1750,>-2 and <=-1.75,29999,>740,3/1/2012,18910205.2,69,,354.0098373,2.763238478,322733.3307,320675.3531,19054034,0.855126906,0.855126906
-1500,>-1.75 and <=-1.5,680,>550 and <=680,3/1/2012,932960,3,,324.7525317,35.24746827,348361.2438,321764.5868,1015100,-0.08272184,-0.08272184
-1500,>-1.75 and <=-1.5,740,>680 and <=740,3/1/2012,19938343.2,73,,356.4560688,3.518371328,329580.2198,324032.2546,20469957,8.025358365,8.025358365
-1500,>-1.75 and <=-1.5,29999,>740,3/1/2012,176339934.3,618,,355.2911727,3.968986081,334146.9247,328516.0744,179707127,13.00302746,5.614869263
-1250,>-1.5 and <=-1.25,-999,N.A.,3/1/2012,338091,1,,357,3,339999.9959,338090.9983,340000,-0.000197793,-0.000197793
-1250,>-1.5 and <=-1.25,680,>550 and <=680,3/1/2012,6133043.602,25,,350.9548735,5.434254079,304398.6766,293999.8051,6418710,2.517198751,2.517198751
-1250,>-1.5 and <=-1.25,740,>680 and <=740,3/1/2012,153955261,484,,355.3367298,4.585594779,376341.9446,370376.3125,156877973,14.74858027,3.526535219
-1250,>-1.5 and <=-1.25,29999,>740,3/1/2012,1607821915,5049,,354.5064594,4.992451422,376459.4626,369375.3262,1647038029,16.33502398,4.215628799
-1000,>-1.25 and <=-1,-999,N.A.,3/1/2012,125272,1,,348,12,128000,125272.0036,128000,0.000636034,0.000636034
-1000,>-1.25 and <=-1,680,>550 and <=680,3/1/2012,27876039.3,115,2.875,339.2563106,5.491943498,297030.452,291952.5375,28692714,30.0988088,2.414894613
-1000,>-1.25 and <=-1,740,>680 and <=740,3/1/2012,628043938.1,2042,2.848082886,351.017457,5.745734859,371532.4413,365219.678,642630182,13.60579088,3.16912952
-1000,>-1.25 and <=-1,29999,>740,3/1/2012,5121164937,16113,2.847205227,351.4609889,5.563495412,388646.8155,381392.2355,5246315973,22.25244943,3.627125152
-750,>-1 and <=-0.75,680,>550 and <=680,3/1/2012,47468293.01,220,3.07470846,289.0376956,7.594601309,287301.1554,279667.2193,49010528,19.01102839,3.706539168
-750,>-1 and <=-0.75,740,>680 and <=740,3/1/2012,755583276.2,2727,3.087835708,332.8677426,6.377779298,343612.9986,337482.8671,772776168,18.40657565,1.773650446
-750,>-1 and <=-0.75,29999,>740,3/1/2012,4623614990,16701,3.082830458,332.8167291,6.517354824,348935.0347,341147.5947,4765987109,26.67518256,3.032700764
-500,>-0.75 and <=-0.5,-999,N.A.,3/1/2012,776507,4,3.289875382,210.463952,4.760917802,203018.5488,198629.4857,794724,0.490086439,0.490086439
-500,>-0.75 and <=-0.5,550,<=550,3/1/2012,2285306.996,17,3.339386731,167.0643889,2.737377237,150548.1651,148505.8443,2319756,1.376911459,1.376911459
-500,>-0.75 and <=-0.5,680,>550 and <=680,3/1/2012,479716993.7,2699,3.336494863,194.0676263,4.524277255,237766.0866,232949.9141,490644598,4.149596376,0.844322998
-500,>-0.75 and <=-0.5,740,>680 and <=740,3/1/2012,3672445008,16702,3.331639921,219.0291421,5.415171478,286033.9802,279872.0588,3762853710,11.33515114,1.479893424
-500,>-0.75 and <=-0.5,29999,>740,3/1/2012,22186952391,100633,3.328274346,211.2422324,5.243302689,285624.4767,278951.0466,22808717882,13.37012649,2.171715487
-250,>-0.5 and <=-0.25,-999,N.A.,3/1/2012,79300.39844,1,3.500000148,164,15,84999.99865,79300.39551,85000,-0.020837631,-0.020837631
-250,>-0.5 and <=-0.25,550,<=550,3/1/2012,4446489.387,35,3.546585507,184.5720858,3.752020217,167944.3004,165626.5423,4518224,0.322643887,0.322643887
-250,>-0.5 and <=-0.25,680,>550 and <=680,3/1/2012,621828555.5,3655,3.555389128,195.6080401,7.032453048,233100.5499,226516.6213,641252273,5.771820114,1.024516899
-250,>-0.5 and <=-0.25,740,>680 and <=740,3/1/2012,3813266448,18600,3.553107964,219.6919021,7.680466483,277487.6689,269605.0796,3941743497,12.05193122,1.363623609
-250,>-0.5 and <=-0.25,29999,>740,3/1/2012,18502415443,92195,3.550219323,213.2475749,7.589063931,273477.1409,264936.9022,19224119141,16.6875351,1.964629791
0,>-0.25 and <=0,-999,N.A.,3/1/2012,1517697.102,10,3.837965788,266.6147205,14.36010275,216787.886,210411.4042,1586255,6.955687204,6.955687204
0,>-0.25 and <=0,550,<=550,3/1/2012,16662054.22,126,3.834148279,196.9668862,9.560194804,175182.5908,168626.5918,17376401,0.213603438,0.213603438
0,>-0.25 and <=0,680,>550 and <=680,3/1/2012,1607993185,9792,3.826463929,195.202628,10.60994965,230893.1976,220738.1396,1688961143,10.87531477,1.045983831
0,>-0.25 and <=0,740,>680 and <=740,3/1/2012,9371550094,48079,3.828576016,221.8074546,10.33174528,268176.7169,257579.132,9828841237,13.53922259,1.087167454
0,>-0.25 and <=0,29999,>740,3/1/2012,48749922171,246755,3.828232115,231.5719539,9.569987588,272069.2842,261523.6532,51218791356,16.73292211,1.454911967
250,>0 and <=0.25,-999,N.A.,3/1/2012,677682.3984,6,4.079551369,149.5716792,15.08842694,142145.0072,131621.4967,730100,0.214941704,0.214941704
250,>0 and <=0.25,550,<=550,3/1/2012,29018803.58,210,4.062215356,223.5134189,9.707199432,191198.8192,185087.1386,30147796,6.257683483,0.253096344
250,>0 and <=0.25,680,>550 and <=680,3/1/2012,1560560132,9717,4.058017059,229.4714874,11.66435191,225181.5038,216472.3102,1634369938,9.032548891,0.838974689
250,>0 and <=0.25,740,>680 and <=740,3/1/2012,8965517921,45162,4.055704295,267.4531275,10.16644311,270120.8905,261949.1223,9312676732,12.59009243,0.879379447
250,>0 and <=0.25,29999,>740,3/1/2012,41807170174,205707,4.051956923,276.5813558,9.413960675,277035.5705,268990.9168,43465016278,16.93184643,1.237856762
29999,>0.25,-999,N.A.,3/1/2012,1517747618,20770,6.477628974,245.6665988,85.69515377,186094.5407,164269,2096155476,26.47268547,0.927689771
29999,>0.25,550,<=550,3/1/2012,1956083187,15490,5.999134488,296.5910388,42.08050808,196261.271,187216.1548,2107502134,14.53588894,0.155017936
29999,>0.25,680,>550 and <=680,3/1/2012,1.10765E+11,724841,5.899098335,293.237049,45.91149041,219122.9975,206391.7268,1.19012E+11,22.68691052,0.27701704
29999,>0.25,740,>680 and <=740,3/1/2012,2.84318E+11,1575912,5.399471407,300.5351539,36.76078484,251992.3284,239251.6957,3.02819E+11,25.13539585,0.444771301
29999,>0.25,29999,>740,3/1/2012,6.3207E+11,3452031,5.055359128,300.1315068,30.24119179,258519.1362,245392.259,6.75704E+11,31.30303654,0.863315683
-2000,<=-2,740,>680 and <=740,2/1/2012,1329098.602,6,,353.9233817,6.076618252,293616.1508,289405.4165,1347000,0.368578299,0.368578299
-2000,<=-2,29999,>740,2/1/2012,6982671.398,28,,355.3236378,4.736081438,304041.5912,293929.7746,7312467,1.290351212,1.290351212
-1750,>-2 and <=-1.75,680,>550 and <=680,2/1/2012,409185,1,,359,1,410000.0053,409185.0195,410000,0.001179103,0.001179103
-1750,>-2 and <=-1.75,740,>680 and <=740,2/1/2012,1309676,4,,357.6365116,2.052461067,374819.7597,372644.8133,1318950,1.378883799,1.378883799
-1750,>-2 and <=-1.75,29999,>740,2/1/2012,13643898.9,50,,357.4607429,2.55409073,326521.5543,324842.6336,13733260,3.918815102,1.42914394
-1500,>-1.75 and <=-1.5,680,>550 and <=680,2/1/2012,688012,2,,313.7896999,46.21030011,384587.7955,349560.1289,767600,-0.109989679,-0.109989679
-1500,>-1.75 and <=-1.5,740,>680 and <=740,2/1/2012,16518419.3,58,,356.7685354,3.200551,338475.144,333584.7598,16928964,4.259684514,4.259684514
-1500,>-1.75 and <=-1.5,29999,>740,2/1/2012,146627882.3,503,,355.5968692,3.721143267,340284.1942,335061.0805,149248562,9.502573309,3.362258402
-1250,>-1.5 and <=-1.25,-999,N.A.,2/1/2012,338729,1,,358,2,340000.0082,338728.9905,340000,0.000967058,0.000967058
-1250,>-1.5 and <=-1.25,680,>550 and <=680,2/1/2012,5592797.602,22,,355.12547,4.920095374,313900.8227,304981.4914,5809610,1.336936708,1.336936708
-1250,>-1.5 and <=-1.25,740,>680 and <=740,2/1/2012,134293222.9,415,,355.6695307,4.23601682,381432.6081,375977.5069,136629076,2.719825163,2.719825163
-1250,>-1.5 and <=-1.25,29999,>740,2/1/2012,1486000137,4597,,355.1062583,4.455084764,380496.2068,374272.8282,1517397514,15.09782795,4.114719485
-1000,>-1.25 and <=-1,-999,N.A.,2/1/2012,125502,1,,349,11,128000,125502.002,128000,-0.003650376,-0.003650376
-1000,>-1.25 and <=-1,680,>550 and <=680,2/1/2012,23441093,94,2.874999965,351.2599156,5.540642691,303884.103,298793.4855,24146920,20.94999879,3.068136324
-1000,>-1.25 and <=-1,740,>680 and <=740,2/1/2012,572539914.9,1833,2.840161065,353.7524461,5.327344419,375425.4902,369674.4803,584540355,10.84829418,3.148089305
-1000,>-1.25 and <=-1,29999,>740,2/1/2012,4785995427,14743,2.842435628,353.4061535,5.03881699,394553.3708,388048.7644,4890245543,16.36786947,3.227337823
-750,>-1 and <=-0.75,680,>550 and <=680,2/1/2012,34259593.7,158,3.087901687,315.6745417,8.981710666,294186.7642,285963.8784,35445122,13.84023569,6.051572357
-750,>-1 and <=-0.75,740,>680 and <=740,2/1/2012,657877598.9,2282,3.090590152,345.0781956,6.27287141,353610.941,347697.6572,671972136,19.25944505,2.765094305
-750,>-1 and <=-0.75,29999,>740,2/1/2012,4130020657,14333,3.088211705,344.9097278,6.339343829,359349.7339,351808.6902,4252493866,23.73555781,3.52671089
-500,>-0.75 and <=-0.5,-999,N.A.,2/1/2012,544516,3,3.313756425,226.7639886,3.656908153,187261.7668,184012.2524,555224,0.696036954,0.696036954
-500,>-0.75 and <=-0.5,550,<=550,2/1/2012,1371865.5,10,3.3427771,169.4232789,2.541415378,147613.258,145761.883,1391734,1.592558802,1.592558802
-500,>-0.75 and <=-0.5,680,>550 and <=680,2/1/2012,382481822.8,2136,3.337632091,197.5576226,4.396538477,241644.2034,237134.1776,390489547,5.614825634,2.275807922
-500,>-0.75 and <=-0.5,740,>680 and <=740,2/1/2012,3079798708,13805,3.333299541,227.3546124,5.253913767,290735.4359,284922.4103,3150793754,11.46446649,1.498597467
-500,>-0.75 and <=-0.5,29999,>740,2/1/2012,18779148089,84324,3.330138409,218.0526108,4.995314284,289269.2475,283029.4423,19270221914,12.86013972,2.284267889
-250,>-0.5 and <=-0.25,-999,N.A.,2/1/2012,79675.60156,1,3.499999853,165,14,85000.00135,79675.60141,85000,-0.022097245,-0.022097245
-250,>-0.5 and <=-0.25,550,<=550,2/1/2012,3498900.891,26,3.543229134,186.8681143,3.850947923,180059.0165,177910.1319,3556022,18.18258057,0.289625578
-250,>-0.5 and <=-0.25,680,>550 and <=680,2/1/2012,533648838,3141,3.557397452,198.4968979,7.045276694,235223.0144,228704.8229,550179833,3.201485978,1.113574343
-250,>-0.5 and <=-0.25,740,>680 and <=740,2/1/2012,3386576044,16408,3.555709486,225.3121873,7.587802054,280480.9115,272847.0071,3496450062,13.60436763,1.470216465
-250,>-0.5 and <=-0.25,29999,>740,2/1/2012,16700658175,82732,3.552486816,217.4260832,7.378403529,276076.2964,267860.7163,17325369204,17.77163272,2.026262995
0,>-0.25 and <=0,-999,N.A.,2/1/2012,1116874.801,7,3.875000017,287.363288,16.75538905,227987.7471,221510.9748,1173855,0.57616152,0.57616152
0,>-0.25 and <=0,550,<=550,2/1/2012,14575343.5,114,3.834524331,189.9167592,9.866648164,168742.2698,162011.1693,15214902,7.910163598,0.669510352
0,>-0.25 and <=0,680,>550 and <=680,2/1/2012,1462902079,8867,3.826470085,191.5494897,10.6718468,232801.2198,222605.3451,1536353898,8.941451801,1.008873922
0,>-0.25 and <=0,740,>680 and <=740,2/1/2012,8446989539,43655,3.8270117,214.2973743,10.49468538,267186.7222,256335.0435,8867201386,13.784914,1.085006852
0,>-0.25 and <=0,29999,>740,2/1/2012,43348109989,222848,3.826040852,220.8283093,9.806725671,269143.8408,258180.0746,45618613499,17.74114052,1.641975587
250,>0 and <=0.25,-999,N.A.,2/1/2012,681538.8984,6,4.079508393,150.7524217,14.08734029,142123.5864,132329.3619,730100,0.449575457,0.449575457
250,>0 and <=0.25,550,<=550,2/1/2012,25478237.77,181,4.065862506,213.9609775,9.990900452,193663.1277,187364.9027,26497678,0.345814329,0.345814329
250,>0 and <=0.25,680,>550 and <=680,2/1/2012,1391341851,8764,4.059987767,219.8687372,12.08341444,222945.076,213949.4739,1459157802,8.067678498,0.858355847
250,>0 and <=0.25,740,>680 and <=740,2/1/2012,7612413467,39260,4.057474404,254.2594365,10.84290062,266980.9995,258162.434,7931067324,13.10506393,0.956739303
250,>0 and <=0.25,29999,>740,2/1/2012,35319449679,178717,4.054041612,263.1294724,10.02027917,273044.5057,264283.692,36847143937,18.87195743,1.429238363
29999,>0.25,-999,N.A.,2/1/2012,1554800211,21173,6.474467957,246.3996645,84.63667554,186341.452,164782.0639,2138611389,21.48349053,0.754509496
29999,>0.25,550,<=550,2/1/2012,1951065985,15507,6.025241449,296.7204037,41.83567903,195502.3909,186604.9523,2100618108,12.65912933,0.281076551
29999,>0.25,680,>550 and <=680,2/1/2012,1.12298E+11,733144,5.911718307,293.840476,45.318456,219209.0129,206685.5039,1.20498E+11,20.43211322,0.300486844
29999,>0.25,740,>680 and <=740,2/1/2012,2.88062E+11,1593119,5.412226958,300.9707561,36.22532526,252101.775,239588.5445,3.06417E+11,23.13356257,0.500473557
29999,>0.25,29999,>740,2/1/2012,6.43775E+11,3502312,5.064285602,300.5081765,29.65943146,258964.8032,246081.9732,6.87163E+11,29.63093703,0.920784052
-2000,<=-2,740,>680 and <=740,1/1/2012,1331774,6,,354.9234735,5.076526498,293653.7552,290062.2193,1347000,-0.31633814,-0.31633814
-2000,<=-2,29999,>740,1/1/2012,5442682,22,,355.1784942,4.821505831,298855.5682,286773.5301,5755867,0.538190673,0.538190673
-1750,>-2 and <=-1.75,740,>680 and <=740,1/1/2012,567844,2,,356.8435856,2.437609625,340743.4567,338293.6823,571450,6.174656049,6.174656049
-1750,>-2 and <=-1.75,29999,>740,1/1/2012,9356067.502,36,,357.4709216,2.55075585,315913.6642,314327.4888,9417880,0.671940385,0.671940385
-1500,>-1.75 and <=-1.5,680,>550 and <=680,1/1/2012,689615,2,,314.7695526,45.23044742,384585.2814,350338.9521,767600,-0.110924868,-0.110924868
-1500,>-1.75 and <=-1.5,740,>680 and <=740,1/1/2012,13145882.2,45,,357.0178891,2.960304497,347265.39,341971.64,13514864,1.120354901,1.120354901
-1500,>-1.75 and <=-1.5,29999,>740,1/1/2012,117167665.1,395,,355.5584931,3.572658462,344102.7366,339682.8434,118926724,8.758884736,5.243229288
-1250,>-1.5 and <=-1.25,-999,N.A.,1/1/2012,339365,1,,359,1,339999.9965,339364.9907,340000,-0.001420428,-0.001420428
-1250,>-1.5 and <=-1.25,680,>550 and <=680,1/1/2012,5067221.398,20,,355.535646,4.514738985,309940.69,300892.9212,5267600,1.636565372,1.636565372
-1250,>-1.5 and <=-1.25,740,>680 and <=740,1/1/2012,119176340.6,359,,356.202186,3.808411984,388137.8118,383319.9623,120984237,6.915099153,3.031055121
-1250,>-1.5 and <=-1.25,29999,>740,1/1/2012,1341744935,4056,,355.6563662,3.973018617,386282.9257,380848.7152,1365977468,12.87134101,3.808680008
-1000,>-1.25 and <=-1,-999,N.A.,1/1/2012,125732,1,,350,10,128000,125731.9978,128000,0.001618364,0.001618364
-1000,>-1.25 and <=-1,680,>550 and <=680,1/1/2012,21010074.4,85,2.875,351.2468631,5.173112981,302184.7587,297191.2078,21653310,1.228772934,1.228772934
-1000,>-1.25 and <=-1,740,>680 and <=740,1/1/2012,501045478.4,1594,2.875,354.3578685,5.13250975,379587.2679,373971.052,511465185,11.24250532,2.090091365
-1000,>-1.25 and <=-1,29999,>740,1/1/2012,4369900841,13199,2.847856666,354.8797769,4.576569775,400340.0399,394442.6828,4455869781,13.17523297,2.930372789
-750,>-1 and <=-0.75,680,>550 and <=680,1/1/2012,28229743.91,130,3.113583295,325.6247842,9.862667139,298460.3965,289665.571,29254195,17.00569918,3.464954243
-750,>-1 and <=-0.75,740,>680 and <=740,1/1/2012,588343529,2018,3.119989064,350.3716547,6.053246101,357022.8172,351357.5281,600307470,14.86006936,2.157547409
-750,>-1 and <=-0.75,29999,>740,1/1/2012,3784227311,12979,3.109070535,349.5666066,6.010577974,363247.5526,356034.587,3891144237,20.3611573,3.323946238
-500,>-0.75 and <=-0.5,-999,N.A.,1/1/2012,345564,2,3.25,255.5427996,4.202920443,179138.9685,175221.8552,354000,1.087907733,1.087907733
-500,>-0.75 and <=-0.5,550,<=550,1/1/2012,841209.2969,6,3.341236811,164.9852531,2.322066772,151035.4025,149592.7453,852034,2.579155679,2.579155679
-500,>-0.75 and <=-0.5,680,>550 and <=680,1/1/2012,305391468.6,1701,3.337168806,201.028006,4.203558476,243333.4292,239142.558,311424018,2.937441538,0.959331742
-500,>-0.75 and <=-0.5,740,>680 and <=740,1/1/2012,2553684634,11409,3.332027417,235.8287053,5.127660309,292641.6569,287064.4785,2609602081,11.08665284,1.507129821
-500,>-0.75 and <=-0.5,29999,>740,1/1/2012,15657696163,70415,3.329673898,226.3357993,4.787475804,289989.7587,284151.1766,16042262425,12.0961016,2.236541009
-250,>-0.5 and <=-0.25,-999,N.A.,1/1/2012,80049.79688,1,3.499999902,166,13,84999.99962,80049.79453,85000,-0.020576612,-0.020576612
-250,>-0.5 and <=-0.25,550,<=550,1/1/2012,1815303.102,16,3.536721524,195.9627608,5.030244975,150484.7671,148615.6837,1850485,0.011029121,0.011029121
-250,>-0.5 and <=-0.25,680,>550 and <=680,1/1/2012,449885827.7,2615,3.557832812,202.7500855,7.188158628,240682.4171,234123.0156,463880127,3.560357461,0.86206267
-250,>-0.5 and <=-0.25,740,>680 and <=740,1/1/2012,2955677105,14259,3.557956264,232.3392523,7.59738196,282996.224,275428.0027,3050735115,11.02781154,1.186244251
-250,>-0.5 and <=-0.25,29999,>740,1/1/2012,14758163040,72940,3.554651016,223.0910486,7.309572604,277923.6668,269853.7296,15299931865,15.20586707,2.009050089
0,>-0.25 and <=0,-999,N.A.,1/1/2012,1120297.297,7,3.874999975,288.3587735,15.76975042,227781.2592,221741.6136,1173855,0.580418425,0.580418425
0,>-0.25 and <=0,550,<=550,1/1/2012,13221487.31,104,3.837097385,187.0044013,9.944899286,168389.4686,161617.9382,13803826,0.287302617,0.287302617
0,>-0.25 and <=0,680,>550 and <=680,1/1/2012,1358781493,8223,3.829211634,190.1083704,10.55799141,233064.6736,223029.401,1425770865,8.167650936,0.899214769
0,>-0.25 and <=0,740,>680 and <=740,1/1/2012,7795534927,40647,3.828835291,209.6102552,10.48163371,265286.5151,254427.7686,8183232310,11.03090709,0.986130677
0,>-0.25 and <=0,29999,>740,1/1/2012,39500705065,206388,3.827346436,213.1883945,9.905399259,265828.2541,254659.5523,41603188319,16.22196697,1.60859796
250,>0 and <=0.25,-999,N.A.,1/1/2012,685251.5039,6,4.079457551,151.7246606,13.08552957,142100.2817,133006.6232,730100,0.21491325,0.21491325
250,>0 and <=0.25,550,<=550,1/1/2012,24116301.5,170,4.068746311,210.7076827,9.482629812,195316.0916,189310.6771,25027100,0.286458861,0.286458861
250,>0 and <=0.25,680,>550 and <=680,1/1/2012,1275045295,8063,4.062333311,212.469297,12.143416,221335.2877,212315.727,1337340594,7.396033694,0.676295861
250,>0 and <=0.25,740,>680 and <=740,1/1/2012,6695797409,34933,4.062445732,244.6151063,11.23718921,264749.9349,255575.6303,6986587826,12.25774573,0.91594693
250,>0 and <=0.25,29999,>740,1/1/2012,30739865294,158081,4.060191468,252.8740949,10.39466567,269587.794,260366.2261,32132492967,16.41281741,1.470889837
29999,>0.25,-999,N.A.,1/1/2012,1588310223,21535,6.472138163,247.0923438,83.65074323,186404.0211,165148.9229,2176855588,18.69533274,0.814076172
29999,>0.25,550,<=550,1/1/2012,1946626234,15523,6.049323363,297.0329569,41.58067552,195023.203,186283.5563,2094305948,12.22465046,0.218973017
29999,>0.25,680,>550 and <=680,1/1/2012,1.13631E+11,740220,5.923874252,294.4709389,44.71505673,219348.9416,207031.5496,1.21772E+11,18.76201129,0.297258526
29999,>0.25,740,>680 and <=740,1/1/2012,2.91306E+11,1606537,5.423287594,301.5012008,35.64281635,252336.6198,240065.4959,3.09473E+11,20.54592303,0.466204891
29999,>0.25,29999,>740,1/1/2012,6.53465E+11,3539589,5.07233936,300.9870457,29.04394312,259487.2997,246866.7803,6.96475E+11,25.66626754,0.861302717
-2000,<=-2,740,>680 and <=740,12/1/2011,769951.1016,4,,352.4590586,7.540941373,284652.9042,279173.0378,783000,0.035311497,0.035311497
-2000,<=-2,29999,>740,12/1/2011,2820337,12,,352.202891,7.797108998,299744.9163,277578.091,3120267,1.609019402,1.609019402
-1750,>-2 and <=-1.75,740,>680 and <=740,12/1/2011,408992,1,,357,2,411449.9861,408992.0175,411450,0.00178675,0.00178675
-1750,>-2 and <=-1.75,29999,>740,12/1/2011,5497021,22,,357.0183287,3.018644644,296150.8348,294360.5084,5539420,0.715366183,0.715366183
-1500,>-1.75 and <=-1.5,680,>550 and <=680,12/1/2011,301974,1,,260,100,377599.9983,301974.0035,377600,-0.252656152,-0.252656152
-1500,>-1.75 and <=-1.5,740,>680 and <=740,12/1/2011,9754018,34,,357.177098,2.793453016,332889.786,328265.3598,10006144,10.92798655,10.92798655
-1500,>-1.75 and <=-1.5,29999,>740,12/1/2011,91293646.3,298,,355.3645663,3.509155299,355267.8959,350949.7497,92662783,7.001530514,2.45939782
-1250,>-1.5 and <=-1.25,-999,N.A.,12/1/2011,340000,1,,360,0,339999.997,339999.997,340000,-0.000274829,-0.000274829
-1250,>-1.5 and <=-1.25,680,>550 and <=680,12/1/2011,4762115,19,,356.2307769,3.822935817,309072.4646,300275.6259,4946600,1.753714249,1.753714249
-1250,>-1.5 and <=-1.25,740,>680 and <=740,12/1/2011,101602196,299,,356.5557834,3.451850424,396670.8344,392362.7633,102990355,2.139589126,2.139589126
-1250,>-1.5 and <=-1.25,29999,>740,12/1/2011,1183908363,3476,,356.2348693,3.500835959,394311.6451,389554.9232,1202969499,6.989813394,2.989826755
-1000,>-1.25 and <=-1,-999,N.A.,12/1/2011,125961,1,,351,9,128000,125960.9994,128000,-0.002681071,-0.002681071
-1000,>-1.25 and <=-1,680,>550 and <=680,12/1/2011,18882035.39,75,2.874999918,351.5010754,6.012387783,307234.9193,302230.3006,19513935,8.375005849,1.289061319
-1000,>-1.25 and <=-1,740,>680 and <=740,12/1/2011,450638144.5,1428,2.875,354.8505102,4.952311632,381367.3997,376087.7295,459567014,10.38402889,2.641455128
-1000,>-1.25 and <=-1,29999,>740,12/1/2011,4011686288,11965,2.84532279,355.5308927,4.15943713,405072.9944,399714.2126,4084774734,13.9478688,2.580713663
-750,>-1 and <=-0.75,680,>550 and <=680,12/1/2011,24716324.3,105,3.122923124,327.7510993,9.594719765,313446.5827,304404.3681,25611992,1.978360928,1.978360928
-750,>-1 and <=-0.75,740,>680 and <=740,12/1/2011,517662598.7,1757,3.1298214,351.5420658,5.762836725,359812.9247,354364.9273,527808364,12.79432673,1.599983281
-750,>-1 and <=-0.75,29999,>740,12/1/2011,3396259821,11495,3.123746946,350.9896255,5.6791847,367187.8967,360305.9246,3487268188,19.71732722,3.030820383
-500,>-0.75 and <=-0.5,-999,N.A.,12/1/2011,346972,2,3.25,256.5142202,3.202108527,179144.8235,175949.2017,354000,1.078267458,1.078267458
-500,>-0.75 and <=-0.5,550,<=550,12/1/2011,228974.6016,2,3.249999991,128.0971428,4.886628529,131157.8399,128691.1595,235404,1.2979244,1.2979244
