Row Labels,<=-2,>-0.25 and <=0,>-0.5 and <=-0.25,>-0.75 and <=-0.5,>-1 and <=-0.75,>-1.25 and <=-1,>-1.5 and <=-1.25,>-1.75 and <=-1.5,>-2 and <=-1.75,>0 and <=0.25,>0.25,Grand Total
11/01/10,,-0.0000265,0.174194683,,,,,,,32.0060963,25.67748462,57.8577491
12/01/10,,0.396358566,8.645617366,,,,,,,24.2060348,31.85777993,65.10579066
01/01/11,,1.075431719,15.49116028,0.591904991,0.08318924,,,,,30.41025626,29.24334083,76.89528332
02/01/11,,22.14373593,0.881114305,1.04515513,0.068108002,,,,,7.481994609,22.73517879,54.35528677
03/01/11,-0.003716303,3.649601394,0.84369315,1.014326726,0.290963269,0.081376957,,,,16.3997216,25.25916135,47.53512814
04/01/11,,25.96711315,25.22956022,3.523152364,0.071107197,,,,0.000620782,20.8345748,16.80800567,92.43413418
05/01/11,,7.651612256,2.893133555,2.439322182,0.136132175,,,,0.00496854,5.485283894,18.03776436,36.64821696
06/01/11,,35.58021761,1.047418909,0.326615847,2.608656608,,,,-0.000113888,10.15616659,15.55275077,65.27171245
07/01/11,,30.49140218,0.536032373,0.104694818,,24.59163849,,-0.005235979,,1.147287749,17.16742051,74.03324014
08/01/11,,34.83982147,10.5061409,0.067003028,,2.357775302,,-0.000922387,,1.221270863,17.4987871,66.48987628
09/01/11,,24.10088841,0.064680932,,2.372260952,,0.003401898,,,15.08922609,17.4680154,59.09847368
10/01/11,,0.052029796,,2.394524393,,-0.00177214,,,,3.696842466,19.20327124,25.34489576
11/01/11,,0.087412699,,1.578841326,,0.002539915,,,,0.675524943,22.72062987,25.06494875
12/01/11,,0.042987366,-0.020408151,1.078267458,,-0.002681071,-0.000274829,,,0.212937634,21.42776497,22.73859338
01/01/12,,0.580418425,-0.020576612,1.087907733,,0.001618364,-0.001420428,,,0.21491325,18.69533274,20.55819347
02/01/12,,0.57616152,-0.022097245,0.696036954,,-0.003650376,0.000967058,,,0.449575457,21.48349053,23.1804839
03/01/12,,6.955687204,-0.020837631,0.490086439,,0.000636034,-0.000197793,,,0.214941704,26.47268547,34.11300143
