,<=6,,,,,,,<=6 Total,>12 and <=24,,,,,,,>12 and <=24 Total,>24 and <=36,,,,,,,>24 and <=36 Total,>36 and <=48,,,,,,,>36 and <=48 Total,>48 and <=60,,,,,,,>48 and <=60 Total,>6 and <=12,,,,,,,>6 and <=12 Total,>60,,,,,,,>60 Total,N.A.,,,N.A. Total
Row Labels,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,<=-2,>-0.5 and <=0,>-1 and <=-0.5,>-1.5 and <=-1,>-2 and <=-1.5,>0 and <=0.5,>0.5,,>-1 and <=-0.5,>0 and <=0.5,>0.5,
8/1/17,,-4.165599712,-5.293863499,,,-2.554387962,-1.650328904,-2.848500831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/19,,4.0861746,3.662139282,4.375169571,,3.972329122,5.539691561,4.409776035,0.286100086,7.244239326,4.067051063,7.159832733,2.483566762,9.025502417,11.39521323,6.969672295,4.598172435,12.24223885,6.583851698,8.159590396,4.481960425,9.600970564,14.63582792,8.961080958,9.655170281,9.115181823,8.322442216,5.381108277,5.613943513,10.71366202,11.69365845,8.577378565,0.052750537,9.533428127,9.374512106,7.866795843,6.266073883,8.090774999,11.0844435,8.714350124,,4.847141198,3.87191199,4.418620416,0.320513454,5.96340944,10.77179465,5.890240028,3.021239318,9.778111492,9.153032921,7.58752768,5.573303247,7.961549069,11.66990688,8.113718679,,,,
4/1/19,,8.317555757,4.528751558,-0.219988468,,8.82324927,9.468036583,7.206010619,0.365784764,5.777815418,6.587988125,6.270541494,3.351695392,12.20866136,10.04928951,7.613053904,6.544306703,10.0436803,9.55217755,7.244198151,7.217505769,11.18928535,12.27523237,9.478371088,0.067594206,13.53659146,9.448354399,6.62444165,15.61450624,9.243796426,13.90897537,10.91804017,-0.00000435,9.881711428,8.782824596,9.13925428,4.576106696,10.36920035,10.76912221,9.155812037,,6.695097866,10.48771481,3.671400119,0.00003784,9.43843268,16.19016704,9.665756919,5.570554165,8.448511467,8.374029559,7.7498473,6.421257215,10.58690004,12.05410202,8.685947423,,,,
5/1/19,,10.19730903,5.38305459,4.228828141,,6.424681884,13.24916868,8.815645159,,9.466313714,7.109602203,8.484787728,1.262827333,12.0325546,12.85966148,9.280757881,,9.108513463,10.4493465,8.038577847,9.164708553,12.92450375,13.94259774,10.67071005,,11.18640457,12.8258472,7.119690746,6.876876576,13.48481463,10.46046063,10.69625636,,10.98194665,7.314717133,10.91916184,9.284383104,11.28518982,15.60116428,11.0690167,,11.77657664,7.768573821,1.282211149,,10.89476903,15.18396267,11.25834131,6.791350559,8.293120429,12.02536857,10.06371031,5.909748508,11.6252276,14.16391939,10.43355073,,,,
6/1/19,,7.043958269,3.586705651,0.791455184,,4.46823302,14.22614939,7.453066973,,7.033128848,6.328114624,7.005400326,0.117346353,11.54858998,12.48498243,8.46473725,,10.00502177,6.517958061,6.562593368,5.457694131,13.12537607,11.69301647,9.16569853,,8.279952408,6.750123073,8.335523613,2.884334612,10.67532523,13.04759909,8.909628983,,13.19515182,6.876170983,7.674182139,0.468929652,9.71835409,11.70101642,9.229948757,,9.257144293,0.75121456,1.566407093,,8.343329016,10.31420039,7.554005203,4.066591425,7.877714806,8.508417277,9.085543159,9.969603915,11.47884179,11.83518415,9.678898858,,,9.383934215,9.383934215
7/1/19,,6.504445447,11.57013419,0.000307896,,8.275651978,17.42787576,11.44461669,,6.867157247,6.741445489,1.525872582,0.380661123,8.358998249,19.41465186,9.306854663,,10.45611368,6.382883838,6.253843401,0.993620527,11.23461185,16.46060392,9.792507273,,8.59282529,9.957351187,6.033605293,1.818367795,11.77093922,14.98501502,10.20287688,,9.498076295,7.841859171,5.529436596,0.00318919,11.75478579,15.68171537,10.13575939,,11.54432857,4.908237518,0.000001963,,17.67207484,20.68931009,15.63349917,,10.5951541,8.703604826,7.948498311,4.819607115,11.0115051,13.70171285,9.849380445,,,,
8/1/19,,6.79861607,1.924934869,-0.345071968,,5.085730855,11.64236426,6.735830561,,10.19600015,8.225346839,6.717320799,0.38581904,10.750588,16.77364578,10.94408874,,9.137284959,6.844669532,7.039736401,1.792022204,12.90931897,15.80282123,10.02646113,,7.576349061,6.940349124,10.16810857,1.39335522,13.40917795,15.05040132,10.1315654,,8.35975595,7.570725097,7.807840289,0.003260231,12.71282471,14.29440154,10.11676239,,17.460399,1.688923103,,,22.64366979,20.53168872,18.06605231,,12.52628371,11.52823741,6.713372138,9.734894644,12.20817124,13.80354564,11.32227869,,,,
9/1/19,,6.080580133,2.856610929,0.292763085,,4.771302991,11.68156105,6.731048451,,9.238111673,9.444720761,0.603452895,,13.64651555,22.53336859,12.65965082,,10.2293958,5.617269903,11.73087934,,12.05996105,18.97361788,11.8404248,,11.50210057,6.113923104,6.084807878,,10.86279016,17.56321151,10.91892493,,8.138969658,8.01969286,7.417616803,,11.5052451,15.1884559,10.43233202,,13.98583223,0.607536942,,,24.68372403,27.6569421,21.37311543,,7.350281405,9.92534535,5.231643682,4.09525386,11.95693452,13.61642763,9.661571682,,,,
10/1/19,,4.329343078,2.442196606,0.236122117,,4.605660756,11.08627158,5.952732745,,6.910492304,6.301756864,0.136266163,,11.49546721,23.51678109,11.78415735,,12.11419531,13.14524571,4.801666605,,11.0877287,19.94953464,12.91434069,,8.592438616,7.175708338,3.720066465,,14.8217577,16.40518195,11.0172065,,11.34377783,8.425047976,2.703627474,,14.89077266,16.10880564,11.92415553,,12.07107168,0.071400236,,,28.37710458,24.63549684,21.41188805,,8.228425259,9.294602405,9.193322608,0.320599537,10.77369694,15.6266325,10.49306565,,,,
11/1/19,,2.271454678,2.380628312,1.604970292,,4.467196867,10.15011718,4.767570478,,8.063628085,7.096321349,1.462694856,,15.16214866,19.37711822,11.8198046,,8.312797237,7.483734674,7.746247033,,14.1868577,18.48515775,11.57686263,,8.61497774,6.480261693,4.684215495,,11.1637027,12.90217606,9.088700955,,8.144570557,6.647537085,18.56172697,,13.45034802,13.50617452,11.44708955,,9.201884797,4.05953796,,,25.47417931,22.14637178,17.96804408,,10.98272944,7.537518565,7.279048082,0.315610313,10.04580548,13.73295273,9.839813309,,,,
12/1/19,,3.5005605,6.33826999,0.672342618,,3.99400837,10.55366144,5.492434589,,11.6524233,3.575589285,0.30664427,,10.43164999,21.48317452,11.52483243,,10.68206144,6.642508604,3.269994604,,13.15304676,18.20208366,11.09921121,,8.6370984,6.753494432,6.768053008,,12.15383363,13.16262248,9.720629436,,13.14898171,7.921491243,3.840621386,,10.63680675,16.95436499,11.30237626,,13.41690862,3.278117376,,,14.67728738,18.42065722,14.012855,,8.022967486,9.330807632,9.496516144,0.544595402,11.24475896,14.95694728,10.38279326,,,,
